"","unid","opt_score"
"11248",74632,NA
"11249",74632,NA
"11250",91252,NA
"11251",67512,5
"11252",2922,8
"11253",43532,1
"11254",43532,0
"11255",71207,NA
"11256",83920,10
"11257",92849,10
"11258",84115,2
"11259",84115,NA
"11260",2379,3
"11261",28443,8
"11262",4793,NA
"11263",73111,NA
"11264",51901,NA
"11265",51901,NA
"11266",51901,NA
"11267",51901,NA
"11268",51901,NA
"11269",95031,7
"11270",95031,NA
"11271",699,NA
"11272",699,NA
"11273",71769,NA
"11274",63923,6
"11275",10808,NA
"11276",10808,NA
"11277",10808,NA
"11278",10808,NA
"11279",58888,4
"11280",58888,5
"11281",47787,NA
"11282",47787,NA
"11283",47787,NA
"11284",80353,1
"11285",5217,4
"11286",5217,NA
"11287",23436,NA
"11288",78658,6
"11289",78658,4
"11290",78658,NA
"11291",5603,NA
"11292",38867,1
"11293",38867,2
"11294",38867,6
"11295",38867,4
"11296",88967,5
"11297",88967,NA
"11298",38200,11
"11299",38200,6
"11300",65266,3
"11301",65266,NA
"11302",74120,1
"11303",12840,10
"11304",12840,9
"11305",12840,6
"11306",16191,4
"11307",16191,6
"11308",48907,NA
"11309",90461,0
"11310",90461,5
"11311",90461,2
"11312",6678,4
"11313",41956,3
"11314",28486,NA
"11315",48693,7
"11316",48693,7
"11317",67218,6
"11318",67218,6
"11319",67218,NA
"11320",60954,6
"11321",94171,8
"11322",94171,8
"11323",60884,9
"11324",60884,NA
"11325",3521,NA
"11326",22187,NA
"11327",18159,NA
"11328",86757,8
"11329",86757,NA
"11330",75380,NA
"11331",25378,NA
"11332",38711,NA
"11333",49712,8
"11334",49712,NA
"11335",2137,8
"11336",94199,10
"11337",26562,NA
"11338",76233,NA
"11339",5925,NA
"11340",27783,NA
"11341",75018,8
"11342",75018,NA
"11343",6787,2
"11344",6787,-1
"11345",6787,2
"11346",6787,6
"11347",6787,NA
"11348",81536,NA
"11349",81536,NA
"11350",81536,NA
"11351",21818,5
"11352",67037,9
"11353",67037,7
"11354",29433,6
"11355",80435,12
"11356",29136,NA
"11357",29136,NA
"11358",29136,NA
"11359",29136,NA
"11360",29136,NA
"11361",29136,NA
"11362",60122,NA
"11363",60122,NA
"11364",60122,NA
"11365",60122,NA
"11366",60122,NA
"11367",28762,NA
"11368",28762,NA
"11369",28762,NA
"11370",28762,NA
"11371",28762,NA
"11372",28762,NA
"11373",37549,-1
"11374",37549,1
"11375",4221,4
"11376",87123,12
"11377",71294,6
"11378",71294,5
"11379",43474,10
"11380",43474,8
"11381",43474,NA
"11382",83609,NA
"11383",83609,NA
"11384",56533,5
"11385",56533,NA
"11386",56533,NA
"11387",69317,3
"11388",69317,NA
"11389",70816,2
"11390",70816,NA
"11391",69796,7
"11392",51371,3
"11393",63478,10
"11394",63478,NA
"11395",81573,6
"11396",81573,NA
"11397",42453,2
"11398",21560,0
"11399",46945,NA
"11400",46945,NA
"11401",77154,NA
"11402",77154,NA
"11403",77154,NA
"11404",77154,NA
"11405",77154,NA
"11406",74453,8
"11407",76728,10
"11408",76728,7
"11409",76728,6
"11410",26391,3
"11411",26391,8
"11412",36648,3
"11413",93297,4
"11414",65579,NA
"11415",2343,4
"11416",58981,4
"11417",43641,9
"11418",41527,13
"11419",14980,7
"11420",3816,NA
"11421",24830,11
"11422",74089,8
"11423",74089,9
"11424",74089,5
"11425",61342,NA
"11426",61342,NA
"11427",27758,NA
"11428",37207,3
"11429",34749,4
"11430",85211,6
"11431",85211,10
"11432",85211,8
"11433",85211,NA
"11434",13077,NA
"11435",13077,NA
"11436",12095,3
"11437",9445,8
"11438",9445,12
"11439",88903,NA
"11440",84175,8
"11441",56786,NA
"11442",56786,NA
"11443",32953,NA
"11444",63238,11
"11445",63238,7
"11446",63238,NA
"11447",95225,NA
"11448",77655,6
"11449",46629,8
"11450",46629,13
"11451",89021,NA
"11452",46870,2
"11453",46870,4
"11454",42852,7
"11455",42852,NA
"11456",52144,5
"11457",84610,2
"11458",83049,NA
"11459",90037,NA
"11460",86601,NA
"11461",8164,NA
"11462",96063,NA
"11463",5904,10
"11464",26452,NA
"11465",26452,NA
"11466",11128,-1
"11467",14900,NA
"11468",14900,NA
"11469",14900,NA
"11470",73908,9
"11471",67902,7
"11472",67902,2
"11473",67902,NA
"11474",71171,2
"11475",71171,10
"11476",71171,7
"11477",73417,4
"11478",73417,2
"11479",73417,NA
"11480",34953,NA
"11481",34953,NA
"11482",10095,4
"11483",93155,NA
"11484",70838,2
"11485",31388,8
"11486",56169,NA
"11487",50557,8
"11488",60488,NA
"11489",98938,NA
"11490",98938,NA
"11491",43398,NA
"11492",38872,NA
"11493",74026,1
"11494",74026,NA
"11495",73652,0
"11496",73652,9
"11497",44853,7
"11498",44853,6
"11499",91387,NA
"11500",18139,5
"11501",1305,NA
"11502",15221,NA
"11503",15221,NA
"11504",80757,NA
"11505",43294,3
"11506",44031,3
"11507",37599,5
"11508",67096,10
"11509",67096,9
"11510",67096,11
"11511",53753,9
"11512",53753,8
"11513",30983,NA
"11514",50045,NA
"11515",50045,NA
"11516",38165,NA
"11517",38165,NA
"11518",43064,NA
"11519",65732,4
"11520",96603,6
"11521",48962,6
"11522",26322,NA
"11523",26322,NA
"11524",1252,NA
"11525",1252,NA
"11526",75118,5
"11527",933,5
"11528",933,8
"11529",933,NA
"11530",50558,4
"11531",65289,-1
"11532",16489,3
"11533",42897,NA
"11534",3364,NA
"11535",3364,NA
"11536",44387,9
"11537",18128,6
"11538",18128,7
"11539",8348,5
"11540",13682,3
"11541",49039,NA
"11542",73330,2
"11543",10587,6
"11544",10587,9
"11545",10587,7
"11546",10587,4
"11547",10587,6
"11548",10587,8
"11549",9056,4
"11550",5656,NA
"11551",63207,NA
"11552",62663,NA
"11553",18047,NA
"11554",102000,NA
"11555",96755,NA
"11556",7221,NA
"11557",67119,3
"11558",46883,4
"11559",46883,6
"11560",46883,NA
"11561",63071,NA
"11562",47566,NA
"11563",47566,NA
"11564",47566,NA
"11565",47566,NA
"11566",74806,NA
"11567",39179,9
"11568",7972,NA
"11569",59886,11
"11570",59886,NA
"11571",6035,6
"11572",24559,NA
"11573",38962,8
"11574",43926,6
"11575",43926,NA
"11576",19897,NA
"11577",66056,9
"11578",66835,9
"11579",66835,7
"11580",66835,11
"11581",66835,9
"11582",66835,11
"11583",73491,0
"11584",73491,5
"11585",73491,4
"11586",73491,4
"11587",22731,0
"11588",22731,NA
"11589",22731,NA
"11590",39739,NA
"11591",70685,NA
"11592",70685,NA
"11593",70685,NA
"11594",4807,NA
"11595",94258,1
"11596",94258,5
"11597",23219,NA
"11598",4077,NA
"11599",4077,NA
"11600",22311,6
"11601",74665,3
"11602",10340,1
"11603",10340,2
"11604",10340,3
"11605",66548,NA
"11606",36547,NA
"11607",36547,NA
"11608",10914,NA
"11609",6032,4
"11610",6032,5
"11611",6032,6
"11612",56023,3
"11613",8593,4
"11614",8593,4
"11615",8593,5
"11616",8593,-1
"11617",37476,12
"11618",37476,9
"11619",8553,NA
"11620",8553,NA
"11621",89039,9
"11622",89039,NA
"11623",33466,NA
"11624",33466,NA
"11625",2440,8
"11626",2440,5
"11627",90440,NA
"11628",376,6
"11629",376,7
"11630",98527,NA
"11631",53386,NA
"11632",53386,NA
"11633",72737,7
"11634",72737,6
"11635",11480,0
"11636",64780,NA
"11637",11068,NA
"11638",26729,NA
"11639",30012,6
"11640",64616,NA
"11641",69322,NA
"11642",14185,NA
"11643",35007,4
"11644",35007,5
"11645",35007,6
"11646",35007,4
"11647",35007,NA
"11648",35007,NA
"11649",44516,7
"11650",44516,6
"11651",44516,9
"11652",44516,8
"11653",4494,NA
"11654",4494,NA
"11655",51984,8
"11656",21961,NA
"11657",93274,3
"11658",93274,2
"11659",93274,5
"11660",4985,12
"11661",79151,NA
"11662",6473,2
"11663",6473,NA
"11664",93286,NA
"11665",30284,5
"11666",99407,5
"11667",99407,5
"11668",93797,5
"11669",93797,11
"11670",93797,8
"11671",17229,NA
"11672",32710,5
"11673",32710,5
"11674",32710,6
"11675",53240,5
"11676",965,NA
"11677",965,NA
"11678",79917,6
"11679",79917,6
"11680",79917,7
"11681",72412,6
"11682",9905,5
"11683",9905,4
"11684",9905,11
"11685",9905,7
"11686",9905,NA
"11687",64173,NA
"11688",42858,3
"11689",54240,NA
"11690",54240,NA
"11691",54240,NA
"11692",54240,NA
"11693",65880,8
"11694",47349,5
"11695",43486,NA
"11696",43486,NA
"11697",74037,NA
"11698",43789,5
"11699",9854,NA
"11700",69851,NA
"11701",47869,4
"11702",77638,3
"11703",77638,4
"11704",77638,5
"11705",51147,1
"11706",51147,4
"11707",97204,10
"11708",97204,7
"11709",86944,3
"11710",86944,5
"11711",86944,2
"11712",36385,6
"11713",76730,NA
"11714",52925,6
"11715",52925,4
"11716",6990,NA
"11717",29190,6
"11718",53565,NA
"11719",53565,NA
"11720",97124,7
"11721",63719,7
"11722",10099,NA
"11723",10099,NA
"11724",10099,NA
"11725",10099,NA
"11726",25618,10
"11727",3902,NA
"11728",32107,2
"11729",32107,3
"11730",32107,3
"11731",32107,1
"11732",53532,2
"11733",72935,8
"11734",72935,6
"11735",1395,7
"11736",85514,NA
"11737",28957,9
"11738",20451,NA
"11739",89631,NA
"11740",47004,NA
"11741",47004,NA
"11742",11292,NA
"11743",17223,9
"11744",17223,11
"11745",17223,8
"11746",9892,9
"11747",97836,NA
"11748",35979,-3
"11749",59769,NA
"11750",59769,NA
"11751",59769,NA
"11752",59769,NA
"11753",95683,11
"11754",95683,5
"11755",44277,4
"11756",44277,2
"11757",44277,2
"11758",22329,NA
"11759",51354,10
"11760",76219,NA
"11761",45989,NA
"11762",89306,6
"11763",89306,NA
"11764",22193,6
"11765",22193,13
"11766",22193,NA
"11767",22193,NA
"11768",9730,5
"11769",91213,5
"11770",33952,NA
"11771",12543,NA
"11772",39959,0
"11773",39959,4
"11774",28113,8
"11775",60971,NA
"11776",21038,NA
"11777",69016,9
"11778",50271,NA
"11779",50271,NA
"11780",50271,NA
"11781",50271,NA
"11782",71580,1
"11783",84779,NA
"11784",28629,-1
"11785",28629,1
"11786",28629,0
"11787",28629,0
"11788",28629,NA
"11789",76474,8
"11790",53813,NA
"11791",31301,NA
"11792",31301,NA
"11793",2421,NA
"11794",2421,NA
"11795",91506,NA
"11796",73642,NA
"11797",40922,5
"11798",40922,3
"11799",40922,2
"11800",40922,2
"11801",89401,NA
"11802",6062,5
"11803",74695,9
"11804",74695,6
"11805",25256,5
"11806",98344,7
"11807",55541,9
"11808",55541,3
"11809",33360,NA
"11810",99251,NA
"11811",77996,5
"11812",77996,5
"11813",79259,9
"11814",79259,7
"11815",79259,8
"11816",79259,8
"11817",79259,4
"11818",19243,NA
"11819",19243,NA
"11820",95011,5
"11821",95011,8
"11822",95011,NA
"11823",60606,NA
"11824",59277,4
"11825",5225,NA
"11826",69474,12
"11827",3605,NA
"11828",3605,NA
"11829",41228,NA
"11830",41228,NA
"11831",58678,NA
"11832",58678,NA
"11833",38026,4
"11834",62316,6
"11835",72866,7
"11836",72866,6
"11837",54211,3
"11838",55204,9
"11839",14540,10
"11840",93499,6
"11841",34262,NA
"11842",78162,5
"11843",78162,NA
"11844",83937,NA
"11845",83937,NA
"11846",90477,6
"11847",38965,4
"11848",38965,0
"11849",38965,NA
"11850",84013,NA
"11851",49146,NA
"11852",49146,NA
"11853",61694,-2
"11854",61694,0
"11855",52871,NA
"11856",70276,5
"11857",70276,5
"11858",70276,6
"11859",70276,5
"11860",57587,1
"11861",38613,7
"11862",27194,1
"11863",75388,1
"11864",50986,NA
"11865",37076,NA
"11866",76861,NA
"11867",65405,NA
"11868",31784,6
"11869",61777,2
"11870",61777,7
"11871",97436,NA
"11872",97902,9
"11873",97902,11
"11874",97902,NA
"11875",65359,NA
"11876",93511,3
"11877",65751,6
"11878",14702,4
"11879",14702,3
"11880",14702,4
"11881",89835,9
"11882",89835,8
"11883",89835,5
"11884",89835,6
"11885",89835,5
"11886",89835,6
"11887",40175,NA
"11888",5179,NA
"11889",5179,NA
"11890",5179,NA
"11891",5179,NA
"11892",64397,NA
"11893",74117,6
"11894",6389,0
"11895",6389,1
"11896",6389,-3
"11897",6389,-2
"11898",6389,NA
"11899",64614,NA
"11900",76708,5
"11901",76708,NA
"11902",100350,5
"11903",48176,NA
"11904",48176,NA
"11905",99040,6
"11906",36451,12
"11907",83365,NA
"11908",83365,NA
"11909",55837,7
"11910",25275,NA
"11911",25275,NA
"11912",7831,8
"11913",30317,9
"11914",7418,NA
"11915",11744,5
"11916",11744,NA
"11917",93757,7
"11918",93757,7
"11919",93757,7
"11920",93757,10
"11921",707,5
"11922",707,11
"11923",86523,5
"11924",27249,9
"11925",91323,5
"11926",49598,3
"11927",49598,2
"11928",29525,6
"11929",3333,NA
"11930",8013,4
"11931",8013,4
"11932",23696,NA
"11933",37176,5
"11934",37176,5
"11935",37176,4
"11936",37176,7
"11937",37176,NA
"11938",40075,4
"11939",40075,5
"11940",40075,4
"11941",40075,1
"11942",40075,4
"11943",40075,6
"11944",40075,NA
"11945",11168,6
"11946",11168,3
"11947",11168,5
"11948",11168,6
"11949",48208,4
"11950",48208,NA
"11951",100067,1
"11952",100067,6
"11953",72877,6
"11954",72877,6
"11955",48818,0
"11956",48818,3
"11957",48818,4
"11958",48818,NA
"11959",59522,5
"11960",59522,1
"11961",32117,9
"11962",32117,NA
"11963",32117,NA
"11964",11866,NA
"11965",90541,8
"11966",90541,7
"11967",69478,8
"11968",66327,NA
"11969",66327,NA
"11970",66227,5
"11971",26470,NA
"11972",52193,NA
"11973",76423,NA
"11974",97942,0
"11975",97942,NA
"11976",37136,NA
"11977",94224,3
"11978",84170,3
"11979",62998,8
"11980",62998,13
"11981",62998,10
"11982",62998,7
"11983",62998,NA
"11984",13980,7
"11985",5485,-1
"11986",6885,NA
"11987",99196,7
"11988",62155,NA
"11989",100091,6
"11990",75551,3
"11991",29056,NA
"11992",45309,7
"11993",45309,NA
"11994",45309,NA
"11995",88080,11
"11996",88080,10
"11997",88080,8
"11998",88080,10
"11999",47852,NA
"12000",32389,9
"12001",22305,NA
"12002",7999,2
"12003",88438,8
"12004",72653,6
"12005",72653,10
"12006",72653,NA
"12007",725,NA
"12008",87033,NA
"12009",9646,5
"12010",9646,4
"12011",9646,6
"12012",9646,-1
"12013",61820,4
"12014",61820,3
"12015",57008,8
"12016",57008,6
"12017",42418,4
"12018",92734,0
"12019",42038,NA
"12020",39063,NA
"12021",18339,3
"12022",101393,NA
"12023",11470,6
"12024",85099,NA
"12025",35386,4
"12026",35386,2
"12027",35386,NA
"12028",1032,NA
"12029",14039,NA
"12030",86416,8
"12031",86416,4
"12032",86416,6
"12033",86416,7
"12034",19093,2
"12035",74186,6
"12036",57330,-1
"12037",14485,8
"12038",40192,3
"12039",40192,NA
"12040",17973,NA
"12041",10846,3
"12042",63756,NA
"12043",63756,NA
"12044",74663,5
"12045",74663,3
"12046",41511,NA
"12047",41511,NA
"12048",41511,NA
"12049",41511,NA
"12050",100808,NA
"12051",59482,5
"12052",59482,9
"12053",59482,2
"12054",59482,NA
"12055",89691,NA
"12056",89691,NA
"12057",20430,13
"12058",94050,6
"12059",33944,7
"12060",33944,NA
"12061",70942,NA
"12062",38085,4
"12063",38085,4
"12064",38085,8
"12065",59524,6
"12066",52156,7
"12067",58040,1
"12068",80909,NA
"12069",72799,6
"12070",56425,NA
"12071",56425,NA
"12072",88024,NA
"12073",59420,7
"12074",59420,NA
"12075",26093,NA
"12076",77522,NA
"12077",77522,NA
"12078",77522,NA
"12079",9908,NA
"12080",54354,NA
"12081",28330,12
"12082",28330,NA
"12083",22136,4
"12084",45301,4
"12085",45301,6
"12086",45301,4
"12087",43164,NA
"12088",72797,8
"12089",79987,2
"12090",86206,NA
"12091",40666,NA
"12092",54145,NA
"12093",28041,4
"12094",65057,3
"12095",73293,8
"12096",73293,NA
"12097",73293,NA
"12098",99016,5
"12099",99016,2
"12100",99016,2
"12101",101484,7
"12102",101484,9
"12103",101484,NA
"12104",60692,8
"12105",60692,9
"12106",60692,6
"12107",60692,NA
"12108",7784,NA
"12109",13008,NA
"12110",17996,7
"12111",17996,NA
"12112",38023,NA
"12113",30426,NA
"12114",62264,NA
"12115",62264,NA
"12116",21851,NA
"12117",26045,NA
"12118",26045,NA
"12119",89912,8
"12120",19939,4
"12121",45433,NA
"12122",62829,NA
"12123",37827,10
"12124",37827,9
"12125",93179,NA
"12126",82396,NA
"12127",67931,NA
"12128",100596,NA
"12129",66011,1
"12130",54318,NA
"12131",96075,2
"12132",96075,NA
"12133",60206,NA
"12134",54219,NA
"12135",13504,-3
"12136",60466,9
"12137",60466,11
"12138",42190,NA
"12139",42190,NA
"12140",22698,9
"12141",22698,9
"12142",22698,5
"12143",22698,11
"12144",39721,7
"12145",39721,7
"12146",20339,7
"12147",20339,8
"12148",20339,NA
"12149",23094,NA
"12150",66561,3
"12151",69960,13
"12152",18363,NA
"12153",18363,NA
"12154",8734,NA
"12155",8734,NA
"12156",92779,5
"12157",28246,5
"12158",718,4
"12159",78602,7
"12160",60595,4
"12161",60595,7
"12162",9301,4
"12163",18796,4
"12164",33512,NA
"12165",1635,NA
"12166",87804,4
"12167",87804,6
"12168",87804,-3
"12169",87804,6
"12170",87804,7
"12171",87804,NA
"12172",87804,NA
"12173",86541,11
"12174",19404,NA
"12175",19404,NA
"12176",19404,NA
"12177",11966,6
"12178",88780,6
"12179",88780,8
"12180",88780,6
"12181",39774,NA
"12182",45225,NA
"12183",102130,NA
"12184",72055,7
"12185",72055,6
"12186",72055,3
"12187",72055,NA
"12188",54793,NA
"12189",42611,NA
"12190",42611,NA
"12191",60048,NA
"12192",69835,6
"12193",67258,NA
"12194",67258,NA
"12195",42765,NA
"12196",2193,3
"12197",16793,4
"12198",62080,NA
"12199",39111,6
"12200",6102,6
"12201",3568,NA
"12202",61758,11
"12203",61758,6
"12204",61758,5
"12205",61758,10
"12206",61758,10
"12207",61758,NA
"12208",91223,3
"12209",29936,4
"12210",29936,5
"12211",29936,4
"12212",29936,5
"12213",73628,7
"12214",73628,5
"12215",26678,8
"12216",92191,5
"12217",76951,NA
"12218",54122,4
"12219",54122,8
"12220",41971,9
"12221",2473,NA
"12222",53553,8
"12223",53412,1
"12224",53412,5
"12225",30862,NA
"12226",66286,NA
"12227",82118,2
"12228",63369,NA
"12229",63369,NA
"12230",47207,6
"12231",47207,-2
"12232",47207,1
"12233",47207,-1
"12234",21455,NA
"12235",41512,NA
"12236",48708,NA
"12237",26672,4
"12238",26672,6
"12239",26672,5
"12240",26672,3
"12241",69381,NA
"12242",94302,NA
"12243",21556,5
"12244",16419,4
"12245",16419,NA
"12246",60558,12
"12247",43731,NA
"12248",43731,NA
"12249",43731,NA
"12250",21264,9
"12251",21264,10
"12252",11132,1
"12253",11132,7
"12254",86972,NA
"12255",53215,11
"12256",53215,3
"12257",48632,NA
"12258",97334,6
"12259",97334,4
"12260",97334,NA
"12261",3060,3
"12262",65771,4
"12263",59367,4
"12264",62513,NA
"12265",2448,NA
"12266",24298,NA
"12267",60012,0
"12268",79170,NA
"12269",82170,NA
"12270",82170,NA
"12271",84172,1
"12272",57445,0
"12273",57445,-1
"12274",40753,NA
"12275",36024,9
"12276",36024,6
"12277",83519,10
"12278",29808,2
"12279",97826,2
"12280",33297,NA
"12281",4432,NA
"12282",34970,0
"12283",20385,NA
"12284",40571,NA
"12285",40571,NA
"12286",68514,8
"12287",100013,NA
"12288",100013,NA
"12289",95376,1
"12290",95376,2
"12291",5380,NA
"12292",25869,12
"12293",25869,7
"12294",37244,12
"12295",37244,12
"12296",37244,10
"12297",11489,7
"12298",4249,8
"12299",35792,6
"12300",50130,3
"12301",50130,6
"12302",50130,8
"12303",47581,4
"12304",2035,7
"12305",76159,NA
"12306",36828,3
"12307",84532,NA
"12308",84532,NA
"12309",26901,12
"12310",26901,NA
"12311",58661,2
"12312",58661,5
"12313",92930,NA
"12314",92930,NA
"12315",92930,NA
"12316",98838,NA
"12317",101283,7
"12318",94267,NA
"12319",26688,NA
"12320",56540,6
"12321",44357,NA
"12322",43972,5
"12323",43972,NA
"12324",99493,2
"12325",90199,6
"12326",66862,10
"12327",56296,NA
"12328",30836,5
"12329",30836,3
"12330",67641,0
"12331",67641,NA
"12332",67641,NA
"12333",84979,3
"12334",30709,NA
"12335",50717,3
"12336",5289,NA
"12337",26959,NA
"12338",89614,3
"12339",27538,11
"12340",100798,7
"12341",100798,NA
"12342",42768,7
"12343",81451,3
"12344",83786,10
"12345",83786,8
"12346",83786,8
"12347",83786,13
"12348",35044,NA
"12349",35044,NA
"12350",35044,NA
"12351",35044,NA
"12352",51594,3
"12353",51594,5
"12354",51594,7
"12355",51594,NA
"12356",52599,NA
"12357",87263,NA
"12358",87263,NA
"12359",17867,9
"12360",17867,9
"12361",17867,8
"12362",79878,NA
"12363",45889,9
"12364",80916,12
"12365",80916,11
"12366",97127,13
"12367",97127,6
"12368",11038,6
"12369",11038,8
"12370",11038,10
"12371",11038,9
"12372",11038,NA
"12373",79907,NA
"12374",3162,NA
"12375",66306,8
"12376",66306,NA
"12377",49956,NA
"12378",99035,8
"12379",85342,NA
"12380",69884,NA
"12381",8168,NA
"12382",62157,12
"12383",97825,3
"12384",97825,7
"12385",27001,NA
"12386",27001,NA
"12387",42639,NA
"12388",40861,6
"12389",21973,NA
"12390",37455,NA
"12391",35260,6
"12392",80001,5
"12393",80001,4
"12394",80001,1
"12395",80001,1
"12396",80001,6
"12397",80001,3
"12398",65705,12
"12399",61581,NA
"12400",85834,3
"12401",77623,NA
"12402",42816,NA
"12403",12650,NA
"12404",12650,NA
"12405",32717,2
"12406",32717,0
"12407",32717,3
"12408",13484,-3
"12409",42236,NA
"12410",59456,5
"12411",59456,4
"12412",54192,4
"12413",54192,NA
"12414",85337,NA
"12415",68683,NA
"12416",65922,NA
"12417",65922,NA
"12418",83956,NA
"12419",4866,6
"12420",82632,NA
"12421",82632,NA
"12422",29206,NA
"12423",93183,5
"12424",88501,6
"12425",82403,NA
"12426",35806,5
"12427",44000,1
"12428",44000,3
"12429",32924,NA
"12430",32924,NA
"12431",32924,NA
"12432",100171,10
"12433",100171,10
"12434",70066,NA
"12435",70066,NA
"12436",70066,NA
"12437",100923,NA
"12438",56747,7
"12439",14394,NA
"12440",72399,10
"12441",72399,NA
"12442",72399,NA
"12443",79829,2
"12444",17237,NA
"12445",17237,NA
"12446",99643,5
"12447",35947,6
"12448",73526,1
"12449",100955,3
"12450",57892,NA
"12451",79284,5
"12452",77985,NA
"12453",93514,NA
"12454",54889,0
"12455",27607,NA
"12456",51225,-2
"12457",51225,4
"12458",51225,4
"12459",51225,1
"12460",51225,3
"12461",51225,2
"12462",51225,NA
"12463",51225,NA
"12464",53827,NA
"12465",72999,3
"12466",85197,5
"12467",85197,NA
"12468",37454,3
"12469",37454,NA
"12470",34438,1
"12471",8878,NA
"12472",8878,NA
"12473",73598,5
"12474",36949,NA
"12475",59771,6
"12476",34936,NA
"12477",53182,6
"12478",34543,2
"12479",34543,3
"12480",34543,3
"12481",34543,4
"12482",34543,NA
"12483",57618,10
"12484",57618,9
"12485",91258,6
"12486",13341,NA
"12487",56753,4
"12488",56753,4
"12489",86323,8
"12490",46270,NA
"12491",46270,NA
"12492",46270,NA
"12493",89559,NA
"12494",89559,NA
"12495",89559,NA
"12496",102006,NA
"12497",57353,NA
"12498",3040,NA
"12499",76134,8
"12500",76261,3
"12501",81490,8
"12502",35346,2
"12503",2552,NA
"12504",81201,NA
"12505",98333,9
"12506",98333,3
"12507",98333,6
"12508",99232,5
"12509",99232,3
"12510",62894,7
"12511",62894,4
"12512",76814,NA
"12513",91187,7
"12514",91187,9
"12515",91187,3
"12516",91187,NA
"12517",68312,NA
"12518",68312,NA
"12519",68312,NA
"12520",2852,0
"12521",2299,NA
"12522",45994,NA
"12523",45994,NA
"12524",45994,NA
"12525",67365,NA
"12526",33974,NA
"12527",61730,NA
"12528",1103,4
"12529",1915,NA
"12530",1915,NA
"12531",1915,NA
"12532",1915,NA
"12533",1915,NA
"12534",51481,NA
"12535",32241,NA
"12536",45370,NA
"12537",101372,6
"12538",70837,3
"12539",84902,9
"12540",25,NA
"12541",38013,8
"12542",38013,5
"12543",38013,5
"12544",87052,1
"12545",3554,4
"12546",3554,4
"12547",3554,NA
"12548",8928,7
"12549",8928,NA
"12550",53548,9
"12551",69980,6
"12552",69980,NA
"12553",76205,NA
"12554",76205,NA
"12555",76205,NA
"12556",23565,8
"12557",23565,7
"12558",53387,NA
"12559",53387,NA
"12560",51479,2
"12561",75971,4
"12562",17014,NA
"12563",43039,5
"12564",31280,5
"12565",31280,2
"12566",31280,2
"12567",31280,0
"12568",31280,3
"12569",14820,8
"12570",14820,NA
"12571",17172,NA
"12572",91118,8
"12573",62266,-8
"12574",58969,NA
"12575",29124,7
"12576",42012,1
"12577",42012,2
"12578",42012,4
"12579",42012,3
"12580",101312,5
"12581",55380,6
"12582",3453,5
"12583",3453,NA
"12584",38539,NA
"12585",38539,NA
"12586",74826,6
"12587",74826,2
"12588",91159,-2
"12589",91159,3
"12590",57857,NA
"12591",38706,NA
"12592",13652,6
"12593",13652,6
"12594",13652,NA
"12595",14339,2
"12596",14339,5
"12597",14339,3
"12598",14339,7
"12599",48301,0
"12600",101656,NA
"12601",27408,NA
"12602",27408,NA
"12603",27408,NA
"12604",32610,NA
"12605",32610,NA
"12606",77738,NA
"12607",77738,NA
"12608",77738,NA
"12609",77738,NA
"12610",72529,2
"12611",72529,-2
"12612",47086,7
"12613",59523,NA
"12614",101305,NA
"12615",34193,NA
"12616",87901,5
"12617",71782,4
"12618",71782,4
"12619",71782,NA
"12620",39602,NA
"12621",57230,NA
"12622",41664,NA
"12623",41664,NA
"12624",3159,9
"12625",97190,NA
"12626",60821,9
"12627",60821,9
"12628",47015,9
"12629",40937,8
"12630",40937,10
"12631",36886,4
"12632",66254,4
"12633",40252,3
"12634",40252,6
"12635",40252,2
"12636",99738,7
"12637",9981,NA
"12638",36323,NA
"12639",55668,7
"12640",77296,4
"12641",77296,6
"12642",77296,NA
"12643",26952,NA
"12644",102521,NA
"12645",28465,9
"12646",19060,6
"12647",42160,5
"12648",14330,NA
"12649",30324,7
"12650",30324,11
"12651",30324,9
"12652",28692,NA
"12653",28692,NA
"12654",38655,7
"12655",38655,8
"12656",38655,11
"12657",21501,6
"12658",32313,12
"12659",17532,6
"12660",21102,NA
"12661",15874,NA
"12662",101015,8
"12663",9564,1
"12664",99478,6
"12665",99478,10
"12666",99478,6
"12667",94633,4
"12668",68056,9
"12669",68056,11
"12670",20244,NA
"12671",86482,3
"12672",43549,NA
"12673",37212,NA
"12674",76310,2
"12675",76310,3
"12676",76310,7
"12677",76310,5
"12678",6709,NA
"12679",75953,3
"12680",26071,2
"12681",58323,NA
"12682",79082,6
"12683",79082,7
"12684",79082,NA
"12685",46444,NA
"12686",99574,7
"12687",99574,NA
"12688",69677,5
"12689",69677,5
"12690",69677,NA
"12691",21279,2
"12692",21279,5
"12693",70112,NA
"12694",18461,2
"12695",18461,4
"12696",23342,NA
"12697",95697,6
"12698",95697,NA
"12699",195,NA
"12700",56754,NA
"12701",43344,4
"12702",43344,5
"12703",54191,4
"12704",51003,7
"12705",51003,9
"12706",77576,NA
"12707",4966,NA
"12708",21222,6
"12709",24054,NA
"12710",86174,NA
"12711",59042,8
"12712",59042,7
"12713",79113,4
"12714",79113,5
"12715",89075,5
"12716",24284,13
"12717",24284,NA
"12718",10489,NA
"12719",101633,NA
"12720",72066,NA
"12721",72066,NA
"12722",101034,11
"12723",187,NA
"12724",77402,2
"12725",81758,NA
"12726",38394,NA
"12727",89567,2
"12728",20851,NA
"12729",102227,2
